x;y;temperature
31;3;15.3
30;10;13.3
10;9;24.1
23;5;-6.0
2;2;-4.9
32;43;-0.4
8;48;11.4
3;49;1.9
29;14;9.6
16;8;10.7
31;17;-3.3
19;8;14.0
8;29;4.0
8;20;24.7
14;14;11.5
33;17;24.8
38;15;9.1
13;5;4.0
27;20;14.5
39;6;6.4
27;11;19.2
42;35;13.8
37;32;-17.1
40;24;26.0
46;33;14.6
7;0;-1.8
5;35;2.6
0;21;4.0
20;32;14.9
36;38;33.5
18;41;-8.8
5;40;11.2
6;11;31.4
17;42;12.3
10;20;25.0
16;9;16.8
11;6;6.5
23;13;8.8
21;23;-5.6
9;13;14.8
44;1;13.7
49;25;0.8
23;18;14.5
2;39;3.4
40;10;-6.5
47;18;-3.2
26;46;-2.5
13;48;1.3
23;1;12.2
16;47;9.8
32;1;14.3
20;0;18.8
14;10;-4.5
0;11;27.1
10;7;17.0
5;21;22.6
45;26;24.4
18;6;-3.8
6;4;3.2
6;12;-6.1
10;34;4.9
15;6;18.4
47;6;20.1
17;25;14.8
48;12;8.1
49;31;-3.6
12;22;9.2
4;13;-4.8
47;32;-1.1
21;36;12.2
32;40;3.4
1;44;17.9
36;44;22.3
41;16;7.1
30;2;-1.3
19;16;23.8
10;30;-2.4
2;4;12.8
12;21;-9.5
48;9;3.9
18;17;-0.9
33;17;-7.7
27;22;16.4
37;29;13.3
47;33;12.9
24;30;2.6
5;13;20.6
31;27;-0.5
46;21;5.6
6;33;25.4
4;7;4.5
7;11;19.0
22;19;6.3
33;11;3.5
21;28;11.0
33;7;16.6
31;18;-6.3
41;15;17.3
18;49;8.6
40;16;-12.7
1;18;6.9
12;6;-6.7
24;6;6.4
35;5;7.9
7;38;-1.6
31;26;6.1
19;2;-8.6
23;30;15.5
8;33;-3.4
10;15;15.7
42;8;6.1
8;45;15.2
49;26;24.5
8;4;11.8
20;17;26.2
11;22;2.1
18;14;-2.4
44;42;7.6
3;36;4.9
21;44;23.9
31;46;-3.5
23;30;-16.5
3;35;11.9
21;21;9.2
0;42;-2.2
43;44;8.5
29;5;35.2
30;43;30.4
49;2;20.2
23;31;11.4
20;45;6.2
33;21;13.2
